k,h,Error_L2,Order_L2,Error_H1,Order_H1
2,0.25,3.86637e+43,-,3.3914e+44,-
3,0.125,7.67649e+42,2.332462,1.86341e+44,0.863932
4,0.0625,2.97678e+42,1.366694,1.49149e+44,0.321190
5,0.03125,1.00239e+42,1.570310,1.20948e+44,0.302375
6,0.015625,2.71282e+41,1.885579,7.69466e+43,0.652453
7,0.0078125,6.83846e+40,1.988047,4.16449e+43,0.885719
