k,h,Error_L2,Order_L2,Error_H1,Order_H1
2,0.25,0.00863485,-,0.128455,-
3,0.125,0.0021564,2.001548,0.0644277,0.995513
4,0.0625,0.000538956,2.000383,0.0322389,0.998878
5,0.03125,0.00013473,2.000095,0.0161226,0.999720
6,0.015625,3.3682e-05,2.000024,0.00806168,0.999930
7,0.0078125,8.42046e-06,2.000006,0.00403089,0.999982
