0,0.911797,0.0035842
10,0.876744,0.00344332
20,0.843051,0.00330981
30,0.810663,0.00318159
40,0.779529,0.0030584
50,0.749601,0.00294004
60,0.72083,0.00282629
70,0.693172,0.00271698
80,0.666584,0.00261193
90,0.641023,0.00251097
100,0.61645,0.00241393
110,0.592827,0.00232067
120,0.570117,0.00223102
130,0.548283,0.00214485
140,0.527293,0.00206202
150,0.507113,0.0019824
160,0.487713,0.00190586
170,0.469061,0.00183228
180,0.45113,0.00176155
190,0.433891,0.00169356
200,0.417317,0.0016282
210,0.401382,0.00156536
220,0.386063,0.00150496
230,0.371335,0.00144688
240,0.357175,0.00139105
250,0.343561,0.00133738
260,0.330473,0.00128578
270,0.31789,0.00123617
280,0.305792,0.00118848
290,0.294161,0.00114263
300,0.282978,0.00109855
310,0.272227,0.00105617
320,0.261891,0.00101542
330,0.251954,0.00097625
340,0.242399,0.000938591
350,0.233214,0.000902384
360,0.224383,0.000867574
370,0.215892,0.000834108
380,0.207729,0.000801933
390,0.199881,0.000770999
400,0.192335,0.000741259
410,0.185081,0.000712666
420,0.178106,0.000685176
430,0.171401,0.000658747
440,0.164954,0.000633337
450,0.158756,0.000608908
460,0.152797,0.000585421
470,0.147067,0.000562839
480,0.141559,0.000541129
490,0.136263,0.000520257
500,0.131172,0.00050019
510,0.126277,0.000480896
520,0.12157,0.000462347
530,0.117046,0.000444514
540,0.112695,0.000427368
550,0.108513,0.000410884
560,0.104492,0.000395035
570,0.100626,0.000379798
580,0.0969088,0.000365149
590,0.0933352,0.000351064
600,0.0898995,0.000337523
610,0.0865964,0.000324504
620,0.0834206,0.000311988
630,0.0803673,0.000299954
640,0.0774318,0.000288384
650,0.0746095,0.000277261
660,0.0718961,0.000266566
670,0.0692874,0.000256285
680,0.0667793,0.000246399
690,0.0643679,0.000236895
700,0.0620495,0.000227758
710,0.0598206,0.000218973
720,0.0576776,0.000210527
730,0.0556173,0.000202407
740,0.0536365,0.0001946
750,0.0517321,0.000187094
760,0.0499011,0.000179877
770,0.0481408,0.000172939
780,0.0464483,0.000166269
790,0.0448212,0.000159855
800,0.0432568,0.00015369
810,0.0417527,0.000147762
820,0.0403067,0.000142062
830,0.0389165,0.000136583
840,0.0375799,0.000131314
850,0.0362948,0.00012625
860,0.0350593,0.00012138
870,0.0338715,0.000116698
880,0.0327295,0.000112197
890,0.0316315,0.000107869
900,0.0305759,0.000103709
910,0.029561,9.97085e-05
920,0.0285853,9.58626e-05
930,0.0276472,9.21651e-05
940,0.0267453,8.86101e-05
950,0.0258782,8.51923e-05
960,0.0250445,8.19064e-05
970,0.024243,7.87471e-05
980,0.0234724,7.57097e-05
990,0.0227316,7.27895e-05
1000,0.0220193,6.99819e-05
1010,0.0213345,6.72826e-05
1020,0.0206762,6.46875e-05
1030,0.0200432,6.21924e-05
1040,0.0194347,5.97935e-05
1050,0.0188496,5.74872e-05
1060,0.0182871,5.52699e-05
1070,0.0177463,5.3138e-05
1080,0.0172264,5.10884e-05
1090,0.0167265,4.91179e-05
1100,0.0162459,4.72233e-05
1110,0.0157839,4.54019e-05
1120,0.0153397,4.36507e-05
