k,M,h,Error_L2,Order,Time(s)
1,2,0.5,0.00483243,0,0
2,4,0.25,0.000794733,2.60421,0.002
3,8,0.125,0.000172573,2.20326,0.017
4,16,0.0625,4.07301e-05,2.08304,0.126
5,32,0.03125,9.92133e-06,2.03749,1.953
6,64,0.015625,2.44991e-06,2.0178,42.096
